type,weight,player,catchtype,bot,date,record
🐠,21.97,derinturitierutz,normal,gofishgame,2023-11-27 20:24:28,old
🧸,11.83,miiiiisho,normal,gofishgame,2024-02-15 23:21:41,old
🦪,128.36,qu4ttromila,normal,gofishgame,2024-02-1 20:33:40,old
🐙,198.60,derinturitierutz,jumped,gofishgame,2023-12-27 14:54:34,old
💀,9.98,bussinongnocap,normal,supibot,2023-05-14 05:29:15,old
⛸️,1.94,ryebreadward,normal,gofishgame,2024-02-7 23:59:41,old
👢,1.98,derinturitierutz,mouth,gofishgame,2023-12-30 12:35:00,old
🦐,67.05,5c33,normal,supibot,2022-12-5 10:26:58,old
🐢,251.35,bussinongnocap,normal,supibot,2023-06-17 05:29:50,old
🧦,2.00,osnyatsky,normal,supibot,2023-01-31 01:42:33,old
🦈,288.27,miiiiisho,normal,gofishgame,2024-02-1 22:00:13,old
🧜‍♀️,136.90,dayzedinndaydreams,normal,supibot,2023-08-17 12:37:02,old
🧭,20.23,ryebreadward,normal,gofishgame,2023-12-24 02:46:48,old
🩲,10.19,paras220,normal,gofishgame,2023-09-15 09:53:20,old
🛢️,204.30,sussy_amonge,normal,supibot,2023-08-23 01:40:04,old
🪸,97.69,kishma9,normal,supibot,2023-06-17 09:35:28,old
🦀,38.91,bussinongnocap,normal,supibot,2023-09-5 06:10:03,old
🪶,0.99,osnyatsky,normal,supibot,2023-08-24 01:31:11,old
🧞‍♂,131.64,kishma9,normal,supibot,2023-05-29 11:38:47,old
🧟,118.47,realtechnine,normal,supibot,2023-07-25 17:13:49,old
🐬,112.53,qu4ttromila,normal,gofishgame,2024-01-9 06:55:08,old
🩰,1.96,dayzedinndaydreams,normal,supibot,2023-07-1 00:04:49,old
🦞,126.55,yopego,normal,supibot,2023-08-27 15:59:04,old
🐋,159.84,osnyatsky,normal,gofishgame,2023-10-17 15:40:41,old
👟,2.00,kishma9,normal,gofishgame,2023-11-5 02:37:53,old
🐚,5.03,puzzlow,jumped,gofishgame,2023-11-27 19:57:07,old
👒,11.85,sussy_amonge,normal,supibot,2023-08-23 21:47:21,old
🦑,307.60,dayzedinndaydreams,normal,gofishgame,2023-12-31 16:04:05,old
🐻‍❄,205.85,ninjaross,normal,supibot,2022-12-23 14:02:31,old
🐸,46.72,derinturitierutz,normal,gofishgame,2023-12-27 09:12:00,old
🦦,19.78,dayzedinndaydreams,normal,gofishgame,2024-02-17 10:37:23,old
