Biggest fish by type caught in chat:
🦑 307.6 lbs, dayzedinndaydreams 
🐳 303.81 lbs, qu4ttromila 
🦈 288.27 lbs, miiiiisho 
🦕 286.09 lbs, sicklymaidrobot 
🐉 284.24 lbs, puzzlow 
🐍 271.95 lbs, miiiiisho 
🐢 251.35 lbs, bussinongnocap 
🐻‍❄ 205.85 lbs, ninjaross* 
🐙 197.38 lbs, derinturitierutz 
🐋 159.84 lbs, osnyatsky 
🐊 149.83 lbs, lagggm* 
🧜‍♀️ 136.9 lbs, dayzedinndaydreams 
🦭 133.31 lbs, ryebreadward 
🧞‍♂ 131.64 lbs, kishma9 
🦪 128.36 lbs, qu4ttromila 
🦞 126.55 lbs, yopego 
🧟 118.47 lbs, realtechnine 
🐬 112.53 lbs, qu4ttromila 
🪸 97.69 lbs, kishma9 
👑 77.02 lbs, puzzlow 
🪨 74.57 lbs, fishingalt 
🦐 67.05 lbs, 5pic3* 
🐟 62.65 lbs, derinturitierutz 
🗡️ 47.73 lbs, xz_xz 
🐸 46.72 lbs, derinturitierutz 
🐧 41.6 lbs, osnyatsky* 
🦀 38.91 lbs, bussinongnocap 
🐡 35.66 lbs, crazytown_bananapants 
🕷️ 32.01 lbs, derinturitierutz 
🥒 31.72 lbs, kishma9 
🧽 29.73 lbs, dayzedinndaydreams 
🪳 26.0 lbs, miiiiisho 
🎰 23.11 lbs, qu4ttromila 
🦠 22.0 lbs, osnyatsky 
🐠 21.97 lbs, derinturitierutz 
Jellyfish 21.87 lbs, sicklymaidrobot 
🧭 20.23 lbs, ryebreadward 
🦦 19.78 lbs, dayzedinndaydreams 
🪱 18.95 lbs, derinturitierutz 
🍄 17.83 lbs, osnyatsky* 
🦆 15.69 lbs, derinturitierutz 
🐌 14.24 lbs, yliathim* 
🕶️ 12.41 lbs, paras220 
👒 11.85 lbs, sussy_amonge 
🧸 11.83 lbs, miiiiisho 
🧃 11.17 lbs, sussy_amonge 
🧊 10.98 lbs, miiiiisho 
🪵 10.85 lbs, qu4ttromila 
🦎 10.61 lbs, sussy_amonge 
🩲 10.19 lbs, xz_xz 
💀 9.98 lbs, bussinongnocap 
🪝 4.98 lbs, sussy_amonge 
🎏 4.89 lbs, miiiiisho 
🥫 4.67 lbs, qu4ttromila 
🐚 4.0 lbs, kishma9 
🪀 3.92 lbs, paras220 
☂️ 2.96 lbs, kishma9 
🥪 2.96 lbs, qu4ttromila 
🍬 2.6 lbs, 5pic3* 
HailHelix 2.21 lbs, derinturitierutz 
🧦 2.0 lbs, osnyatsky* 
👟 2.0 lbs, kishma9 
🩴 2.0 lbs, qu4ttromila 
👢 1.97 lbs, kishma9 
🩰 1.96 lbs, sicklymaidrobot 
⛸️ 1.94 lbs, ryebreadward 
🌿 1.0 lbs, crinche* 
🪶 0.99 lbs, osnyatsky* 
🧣 0.99 lbs, osnyatsky* 
🧤 0.98 lbs, kildofris* 
* = The fish was caught on supibot and the player did not migrate their data over to gofishgame. Because of that their data was not individually verified to be accurate.
