type,weight,player,catchtype,bot,date,record
☂️,2.96,xanthic_swe,normal,gofishgame,2023-10-30 14:14:25,old
🧸,11.91,yaratecs2,normal,gofishgame,2024-01-01 14:39:17,old
👢,2.00,jr_mime,normal,gofishgame,2024-01-06 00:47:38,old
🪀,2.53,ovrht,normal,gofishgame,2024-02-18 09:10:12,old
🐟,63.75,adziooooo,normal,gofishgame,2023-10-27 22:15:11,old
🦈,249.45,divra__,normal,gofishgame,2023-12-28 00:26:48,old
🩲,10.20,alvaniss1g,normal,gofishgame,2023-09-18 12:21:36,old
🧜‍♀️,139.02,zwockel01,normal,gofishgame,2023-12-18 22:42:23,old
🧽,29.61,datwguy,normal,gofishgame,2023-09-20 15:27:32,old
🦠,21.99,nndiana,normal,gofishgame,2023-12-26 04:58:23,old
🦦,19.88,angus_lpc,normal,gofishgame,2024-01-01 10:54:04,old
🪵,10.56,vibinud,normal,gofishgame,2023-10-17 15:37:03,old
🦭,133.15,caprise627,normal,gofishgame,2023-12-23 10:55:47,old
🧭,17.75,poppari38,normal,gofishgame,2024-01-01 22:13:11,old
🐙,191.79,xkimi1337,normal,gofishgame,2023-09-19 13:02:10,old
🌿,1.00,shricky,normal,gofishgame,2023-09-18 11:09:10,old
🧦,2.00,manmanboy_,normal,gofishgame,2023-09-16 12:22:22,old
🥫,4.91,huuuuurz,normal,gofishgame,2024-01-22 08:44:29,old
🦪,114.43,wisdom_frog,normal,gofishgame,2023-12-28 02:26:26,old
🧣,0.92,blazeblitzzz,normal,gofishgame,2024-02-01 23:11:44,old
🍄,17.58,ttecnk,normal,gofishgame,2024-01-03 09:39:40,old
🪱,19.17,caprise627,normal,gofishgame,2023-10-18 12:29:31,old
🐍,266.77,pengeg,normal,gofishgame,2023-12-30 04:49:16,old
🐳,303.51,huuuuurz,normal,gofishgame,2024-01-05 01:43:59,old
👑,73.08,brunodestar,normal,supibot,2023-08-31 04:01:22,old
🕷️,31.29,huuuuurz,normal,gofishgame,2023-09-28 06:38:06,old
🐧,41.06,nndiana,normal,gofishgame,2024-01-01 20:51:08,old
🍬,1.60,dx9er,normal,gofishgame,2023-12-06 03:45:41,old
🪸,93.50,yopego,normal,supibot,2023-08-24 09:42:57,old
👒,11.98,ttecnk,normal,gofishgame,2023-10-08 10:06:14,old
🐉,245.57,wisdom_frog,normal,gofishgame,2023-11-25 23:28:50,old
🦕,266.36,quinrayy,normal,gofishgame,2024-01-27 23:27:52,old
🐡,35.69,kaspu222,normal,supibot,2023-08-26 20:13:03,old
🥪,1.98,ovrht,normal,gofishgame,2024-01-17 09:05:03,old
🗡️,47.91,adziooooo,normal,gofishgame,2023-10-11 01:11:04,old
🐌,11.90,asthmaa,normal,gofishgame,2023-10-01 19:51:21,old
🐊,149.60,juwna,normal,gofishgame,2023-11-25 19:41:03,old
⛸️,1.96,pookiesnowman,normal,gofishgame,2023-12-24 05:51:00,old
👟,1.98,jj_ladic,normal,gofishgame,2023-10-18 11:56:32,old
🐋,158.40,sandwichsundays,normal,gofishgame,2023-10-24 00:08:28,old
🥒,31.04,sshradd,normal,gofishgame,2023-09-30 20:33:18,old
