player,weight,type,catchtype,bot,date,record
sandwichsundays,255.00,🦕,normal,gofishgame,2023-11-22 21:34:03,old
caprise627,274.74,🐳,normal,gofishgame,2023-12-18 20:31:27,old
acidfd174,227.90,🐍,normal,gofishgame,2024-01-23 14:42:54,old
sameone,208.78,🐳,normal,gofishgame,2023-10-03 13:11:30,old
6blmue,272.90,🐳,normal,gofishgame,2023-10-20 04:12:07,old
pengeg,293.10,🐳,normal,gofishgame,2024-02-27 00:43:17,old
hahppyy,213.91,🐍,normal,gofishgame,2024-02-22 08:50:33,old
xkimi1337,230.91,🦕,normal,supibot,2023-09-04 10:00:14,old
sl3id3r,206.99,🐳,normal,supibot,2023-08-22 13:54:02,old
eebbbee,211.29,🦕,normal,gofishgame,2023-10-08 21:10:28,old
rc_xz,216.62,🐳,normal,gofishgame,2023-10-17 15:37:05,old
ttecnk,202.20,🐉,normal,gofishgame,2023-11-30 18:21:10,old
faslker,280.99,🐳,normal,gofishgame,2024-02-20 04:47:50,old
crunch_sack,211.20,🦕,normal,gofishgame,2024-02-03 02:37:25,old
yopego,254.30,🐢,normal,supibot,2023-09-12 11:49:45,old
amu1g,256.67,🦕,normal,gofishgame,2024-01-14 20:35:33,old
nndiana,297.35,🐳,normal,gofishgame,2024-01-16 20:50:23,old
copperx9,252.78,🦕,normal,gofishgame,2023-11-12 11:15:22,old
pookiesnowman,205.15,🐳,normal,gofishgame,2023-11-30 08:35:15,old
seryxx,202.24,🐉,normal,gofishgame,2023-09-22 10:35:40,old
norque69,204.31,🦈,normal,gofishgame,2024-01-08 10:08:47,old
qxxick_,214.08,🐉,normal,gofishgame,2023-11-10 02:27:48,old
wisdom_frog,291.86,🐳,normal,gofishgame,2023-11-26 23:37:57,old
duckfackkk,215.83,🐳,normal,gofishgame,2023-12-04 05:31:48,old
maksmusz,231.69,🦕,normal,gofishgame,2024-02-26 06:35:54,old
ottexdd,210.83,🐉,normal,gofishgame,2023-10-24 13:05:11,old
euxoa,258.72,🦑,normal,gofishgame,2023-12-23 20:46:07,old
obscurecharmling,212.97,🦈,normal,gofishgame,2024-01-06 15:10:17,old
em1ze,231.82,🦕,normal,gofishgame,2024-01-06 19:30:23,old
psp1g,202.59,🦈,normal,gofishgame,2023-10-04 17:14:13,old
damon_okami,225.41,🐳,normal,gofishgame,2023-11-14 22:14:26,old
dx9er,208.18,🐉,normal,gofishgame,2023-09-19 20:44:26,old
flunke_,250.84,🐳,normal,gofishgame,2023-11-29 00:32:12,old
cubedude20,206.77,🐉,normal,gofishgame,2023-09-29 12:01:22,old
tien_,205.87,🐳,normal,supibot,2023-09-06 17:21:10,old
jj_ladic,222.91,🐳,normal,gofishgame,2023-12-31 02:33:21,old
mikel1g,209.45,🐳,normal,supibot,2023-08-30 10:15:35,old
teskotienpl,228.46,🐳,normal,gofishgame,2024-01-04 22:33:15,old
cappo7117,240.97,🦕,normal,gofishgame,2024-01-12 07:08:54,old
jr_mime,237.62,🦕,normal,gofishgame,2024-02-01 02:36:59,old
noconcept_,210.03,🐉,normal,gofishgame,2023-12-05 12:39:30,old
wasdecxyq,249.91,🐳,normal,gofishgame,2024-01-23 14:35:04,old
asthmaa,220.96,🐉,normal,gofishgame,2023-10-14 09:48:44,old
quinrayy,266.36,🦕,normal,gofishgame,2024-01-27 23:27:52,old
huuuuurz,303.51,🐳,normal,gofishgame,2024-01-05 01:43:59,old
divra__,266.35,🐍,normal,gofishgame,2024-01-22 18:06:06,old
pspisafemboy,207.80,🐳,normal,gofishgame,2023-12-04 13:54:22,old
red_blade9,203.47,🦈,normal,gofishgame,2023-11-24 04:27:23,old
scaryo_o,203.52,🦕,normal,gofishgame,2023-11-30 05:43:26,old
rttvname,212.06,🐳,normal,gofishgame,2023-09-29 11:17:53,old
damon_okami,276.80,🐉,normal,gofishgame,2024-03-30 10:05:38,updated
crunch_sack,287.96,🐳,normal,gofishgame,2024-03-31 05:58:07,updated
reaima,281.05,🐳,normal,gofishgame,2024-03-19 18:33:24,new
quton,234.94,🐳,normal,gofishgame,2024-04-01 20:02:27,new
jems______,215.56,🐳,normal,gofishgame,2024-04-04 13:21:23,new
